text,emotion,hr,hrv,eda
Acoustic features suggest the person feels sickened while delivering a spoken utterance,disgust,71.6,47.1,4.64
Audio segment classified as neutral based on neutral vocal characteristics,neutral,69.4,60.7,1.45
Emotional tone: disgusted. Intensity level: normal. Classification: disgust,disgust,88.9,45.2,5.75
Audio segment classified as frustration based on exasperated vocal characteristics,frustration,95.2,44.9,5.36
Voice analysis indicates anger with standard intensity,anger,104.1,32.5,5.02
Voice analysis indicates frustration with typical intensity,frustration,80.2,42.8,5.07
"The vocal expression conveys fear, the tone is panicked",fear,99.3,40.8,9.31
Acoustic features suggest the person feels pleased while delivering a spoken utterance,joy,80.0,76.1,2.31
Prosodic analysis of a factual statement reveals typical calm,calm,69.9,63.4,0.9
Audio segment classified as anger based on incensed vocal characteristics,anger,102.9,28.1,5.72
Audio segment classified as fear based on alarmed vocal characteristics,fear,101.8,25.9,6.59
The speaker sounds furious,anger,104.3,38.5,7.02
"The vocal expression conveys disgust, the tone is sickened",disgust,82.7,44.4,5.68
"Audio emotional state: sadness, detected from speech prosody",sadness,68.7,46.9,1.63
The speaker sounds impassive,neutral,64.6,75.3,1.32
Prosodic analysis of a workplace statement reveals standard frustration,frustration,97.8,30.9,5.77
Emotional tone: tense. Intensity level: slight. Classification: anxiety,anxiety,92.1,36.9,8.0
Voice anger indicator — the speaker sounds irritated with standard expression,anger,96.6,36.8,5.33
Acoustic features suggest the person feels gloomy while delivering a suggestive phrase,sadness,60.5,57.2,1.33
The speaker's voice carries standard signs of being impassive,neutral,65.6,74.9,1.28
"The vocal expression conveys fear, the tone is fearful",fear,84.5,29.2,9.19
The speaker's voice carries normal signs of being cheerful,joy,72.7,78.0,3.54
Prosodic analysis of an emotional statement reveals extreme anger,anger,86.2,32.9,6.63
The speaker sounds scared,fear,84.1,25.0,7.56
The speaker sounds joyful,joy,86.5,71.5,2.56
"Audio emotional state: joy, detected from speech prosody",joy,73.9,59.7,2.59
Voice analysis indicates anger with standard intensity,anger,101.0,31.5,6.66
Prosodic analysis of a spoken phrase reveals typical sadness,sadness,66.1,41.7,1.04
Voice disgust indicator — the speaker sounds appalled with intense expression,disgust,83.8,51.1,4.01
Prosodic analysis of an emotional statement reveals clear sadness,sadness,57.2,58.8,1.18
