text,emotion,hr,hrv,eda
But the staff was so horrible to us.,contempt,88.9,41.4,3.88
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",joy,80.1,63.1,2.02
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",joy,73.5,74.4,2.52
"Not only was the food outstanding, but the little 'perks' were great.",joy,70.9,64.2,2.95
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,gratitude,66.4,81.1,2.68
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",pride,77.6,46.7,4.19
Nevertheless the food itself is pretty good.,pride,71.8,58.0,3.17
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",frustration,83.2,42.8,6.02
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",neutral,71.8,65.8,2.2
The design and atmosphere is just as good.,joy,78.5,77.1,2.3
He has visited Thailand and is quite expert on the cuisine.,joy,84.5,61.8,3.89
The pizza is the best if you like thin crusted pizza.,joy,83.4,75.4,3.33
"All the money went into the interior decoration, none of it went to the chefs.",gratitude,65.8,61.1,1.71
The seats are uncomfortable if you are sitting against the wall on wooden benches.,frustration,94.3,30.2,6.37
"I asked for seltzer with lime, no ice.",neutral,75.8,58.5,1.71
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",joy,70.9,77.0,3.28
My suggestion is to eat family style because you'll want to try the other dishes.,neutral,63.5,55.7,2.79
"Best of all is the warm vibe, the owner is super friendly and service is fast.",gratitude,75.4,74.0,1.67
Faan's got a great concept but a little rough on the delivery.,contempt,80.7,32.1,4.86
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",gratitude,73.7,81.5,2.32
"Great food at REASONABLE prices, makes for an evening that can't be beat!",gratitude,74.6,64.5,2.28
this little place has a cute interior decor and affordable city prices.,pride,87.7,63.5,4.4
Two words: Free wine.,joy,75.7,68.3,2.77
The price is reasonable although the service is poor.,pride,75.0,50.3,4.22
"The quantity is also very good, you will come out satisfied.",gratitude,65.4,71.3,1.62
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",neutral,61.3,50.2,2.12
The fried rice is amazing here.,gratitude,66.5,63.6,2.96
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",joy,77.1,72.8,3.65
it's a perfect place to have a amanzing indian food.,pride,78.1,55.9,3.25
The place is so cool and the service is prompt and curtious.,gratitude,72.5,74.3,2.58
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,joy,74.4,66.0,3.07
I just wonder how you can have such a delicious meal for such little money.,joy,80.0,68.4,3.76
The food was delicious but do not come here on a empty stomach.,surprise,78.4,40.2,5.44
The wine list is excellent.,pride,89.8,60.1,3.89
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",pride,81.5,53.5,4.25
They wouldnt even let me finish my glass of wine before offering another.,neutral,61.3,56.0,1.43
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",neutral,76.6,61.7,2.51
This is a consistently great place to dine for lunch or dinner.,neutral,74.5,57.2,2.51
"Nice atmosphere, the service was very pleasant and the desert was good.",pride,82.0,61.3,5.0
After really enjoying ourselves at the bar we sat down at a table and had dinner.,gratitude,78.1,77.9,1.22
