text,emotion,hr,hrv,eda
Wearable sensor data indicates improving low-activity stress pattern at high severity over 31 days,boredom,61.3,64.8,0.59
Biometric analysis shows stress anomaly over 28 days. Severity: high. Trend: stable,anxiety,82.3,20.0,6.41
"Biometric snapshot — heart rate 95, blood pressure 145/92, classified as Abnormal, sleep quality: Poor",stressed,95.5,82.1,7.03
"Recovery plan initiated for wearable-detected anomaly, emotional state: mindfulness",mindfulness,58.1,73.7,0.7
"Time-series health data: Normal reading, HR 76, BP 122/82, activity: Active, sleep quality: Fair",calm,74.6,88.0,1.5
"Biometric snapshot — heart rate 93, blood pressure 133/89, classified as Abnormal, sleep quality: Fair",worry,92.4,99.7,5.61
"Biometric snapshot — heart rate 71, blood pressure 119/78, classified as Normal, sleep quality: Excellent",neutral,70.6,94.8,1.93
"Biometric snapshot — heart rate 70, blood pressure 115/75, classified as Normal, sleep quality: Excellent",calm,69.4,92.8,0.85
"Time-series health data: Normal reading, HR 69, BP 113/74, activity: Sedentary, sleep quality: Good",neutral,68.7,93.7,1.84
"Health monitor: Abnormal status with HR=88 bpm, BP=125/82, activity: Active",stressed,87.0,94.2,6.26
Wearable data informs intervention: addressing physiological indicators of relief,relief,71.7,73.2,3.77
"Physiological monitoring: stress anomaly detected, high severity, stable over time",overwhelmed,100.3,30.0,10.92
"Health monitor: Abnormal status with HR=115 bpm, BP=185/115, activity: Inactive",fear,115.3,53.2,6.51
"Health monitor: Normal status with HR=90 bpm, BP=128/85, activity: Active",neutral,88.1,91.1,3.0
"Recovery plan initiated for wearable-detected anomaly, emotional state: resilience",resilience,72.3,82.1,2.86
Wearable sensor data indicates worsening stress anomaly at high severity over 31 days,anxiety,78.2,34.2,5.34
"Biometric snapshot — heart rate 68, blood pressure 110/70, classified as Normal, sleep quality: Excellent",neutral,67.7,97.0,2.08
Biometric analysis shows stress anomaly over 5 days. Severity: high. Trend: worsening,anxiety,76.8,38.9,8.95
